Query,Started,Ended,Billing Tier,Bytes
query/query1.sql,"1570903350367","1570903352246",1,"41943040"
query/query2.sql,"1570903357955","1570903370242",1,"37748736"
query/query3.sql,"1570903379828","1570903381129",1,"70254592"
query/query4.sql,"1570903387180","1570903395153",1,"241172480"
query/query5.sql,"1570903400387","1570903403308",1,"186646528"
query/query6.sql,"1570903410340","1570903413833",1,"72351744"
query/query7.sql,"1570903419736","1570903422361",1,"228589568"
query/query8.sql,"1570903428255","1570903430153",1,"70254592"
query/query9.sql,"1570903435881","1570903438577",1,"66060288"
query/query10.sql,"1570903443990","1570903449864",1,"211812352"
query/query11.sql,"1570903455938","1570903463471",1,"120586240"
query/query12.sql,"1570903469087","1570903470673",1,"31457280"
query/query13.sql,"1570903476591","1570903480543",1,"266338304"
query/query14.sql,"1570903486224","1570903515947",1,"160432128"
query/query15.sql,"1570903528174","1570903531467",1,"41943040"
query/query16.sql,"1570903537181","1570903540783",1,"83886080"
query/query17.sql,"1570903546118","1570903552355",1,"195035136"
query/query18.sql,"1570903559109","1570903565001",1,"169869312"
query/query19.sql,"1570903570090","1570903572541",1,"116391936"
query/query20.sql,"1570903578281","1570903581413",1,"38797312"
query/query21.sql,"1570903587394","1570903590864",1,"373293056"
query/query22.sql,"1570903596072","1570903601850",1,"374341632"
query/query23.sql,"1570903609159","1570903626389",1,"203423744"
query/query24.sql,"1570903639559","1570903643037",1,"122683392"
query/query25.sql,"1570903648926","1570903655281",1,"196083712"
query/query26.sql,"1570903661423","1570903663118",1,"142606336"
query/query27.sql,"1570903668861","1570903673114",1,"228589568"
query/query28.sql,"1570903678661","1570903684586",1,"88080384"
query/query29.sql,"1570903689888","1570903700938",1,"196083712"
query/query30.sql,"1570903706875","1570903708780",1,"41943040"
query/query31.sql,"1570903713747","1570903716848",1,"87031808"
query/query32.sql,"1570903722213","1570903724018",1,"36700160"
query/query33.sql,"1570903730318","1570903732798",1,"161480704"
query/query34.sql,"1570903739093","1570903742451",1,"116391936"
query/query35.sql,"1570903747715","1570903752839",1,"156237824"
query/query36.sql,"1570903759268","1570903761782",1,"113246208"
query/query37.sql,"1570903768789","1570903771869",1,"293601280"
query/query38.sql,"1570903778224","1570903785634",1,"82837504"
query/query39.sql,"1570903792883","1570903798716",1,"373293056"
query/query40.sql,"1570903804335","1570903808288",1,"62914560"
query/query41.sql,"1570903814043","1570903814912",1,"10485760"
query/query42.sql,"1570903820293","1570903821669",1,"70254592"
query/query43.sql,"1570903827754","1570903829306",1,"68157440"
query/query44.sql,"1570903834793","1570903836188",1,"90177536"
query/query45.sql,"1570903843093","1570903844779",1,"52428800"
query/query46.sql,"1570903850837","1570903856124",1,"183500800"
query/query47.sql,"1570903861726","1570903868329",1,"92274688"
query/query48.sql,"1570903874507","1570903877289",1,"200278016"
query/query49.sql,"1570903883819","1570903897624",1,"255852544"
query/query50.sql,"1570903905993","1570903909331",1,"123731968"
query/query51.sql,"1570903915534","1570903921888",1,"87031808"
query/query52.sql,"1570903927580","1570903928909",1,"70254592"
query/query53.sql,"1570903935048","1570903937147",1,"92274688"
query/query54.sql,"1570903942867","1570903945907",1,"123731968"
query/query55.sql,"1570903951709","1570903953061",1,"70254592"
query/query56.sql,"1570903959356","1570903962521",1,"161480704"
query/query57.sql,"1570903968810","1570903972654",1,"48234496"
query/query58.sql,"1570903978606","1570903981444",1,"121634816"
query/query59.sql,"1570903987974","1570903999343",1,"69206016"
query/query60.sql,"1570904005364","1570904007890",1,"161480704"
query/query61.sql,"1570904014827","1570904017688",1,"138412032"
query/query62.sql,"1570904024517","1570904025786",1,"52428800"
query/query63.sql,"1570904031967","1570904033275",1,"92274688"
query/query64.sql,"1570904038475","1570904074810",1,"341835776"
query/query65.sql,"1570904094439","1570904097522",1,"93323264"
query/query66.sql,"1570904102142","1570904104180",1,"123731968"
query/query67.sql,"1570904108347","1570904114987",1,"115343360"
query/query68.sql,"1570904119996","1570904132256",1,"205520896"
query/query69.sql,"1570904140828","1570904155946",1,"165675008"
query/query70.sql,"1570904161632","1570904164380",1,"68157440"
query/query71.sql,"1570904168577","1570904171521",1,"163577856"
query/query72.sql,"1570904176008","1570904187434",1,"490733568"
query/query73.sql,"1570904192065","1570904194107",1,"116391936"
query/query74.sql,"1570904198681","1570904204615",1,"89128960"
query/query75.sql,"1570904209206","1570904212759",1,"217055232"
query/query76.sql,"1570904217219","1570904218478",1,"160432128"
query/query77.sql,"1570904222361","1570904227616",1,"174063616"
query/query78.sql,"1570904232788","1570904245141",1,"286261248"
query/query79.sql,"1570904255315","1570904258720",1,"182452224"
query/query80.sql,"1570904262735","1570904267580",1,"295698432"
query/query81.sql,"1570904273269","1570904275463",1,"41943040"
query/query82.sql,"1570904279825","1570904283460",1,"305135616"
query/query83.sql,"1570904287791","1570904291168",1,"52428800"
query/query84.sql,"1570904295522","1570904296938",1,"62914560"
query/query85.sql,"1570904301852","1570904304629",1,"91226112"
query/query86.sql,"1570904309188","1570904310032",1,"31457280"
query/query87.sql,"1570904314712","1570904317669",1,"82837504"
query/query88.sql,"1570904322636","1570904326099",1,"69206016"
query/query89.sql,"1570904330563","1570904332252",1,"92274688"
query/query90.sql,"1570904336968","1570904337943",1,"41943040"
query/query91.sql,"1570904341851","1570904344757",1,"73400320"
query/query92.sql,"1570904349979","1570904351748",1,"31457280"
query/query93.sql,"1570904357898","1570904361957",1,"121634816"
query/query94.sql,"1570904368246","1570904370108",1,"52428800"
query/query95.sql,"1570904374309","1570904380758",1,"52428800"
query/query96.sql,"1570904384960","1570904386406",1,"69206016"
query/query97.sql,"1570904390865","1570904394026",1,"102760448"
query/query98.sql,"1570904397968","1570904399846",1,"71303168"
query/query99.sql,"1570904404040","1570904405848",1,"58720256"
